,nama,harga,stok
0,OxypasHospitalShoesHenny,499000,14
1,BATABickzPerformance804-6603,1190000,9
2,FACOMCutterPliersLeverage,359000,3
3,BATACharleston804-8224,339000,9
4,BATABickzTitan804-3704,769000,9
5,CHEETAHSafetyShoesRebound7106H,379000,9
6,CHEETAHSafetyShoesComfySeries5106HA,689000,9
7,BATAAcapulco,319000,9
8,KING'SSafetyShoesComfortKWD807XBlack,339000,10
9,CHEETAHSafetyShoesRebound7001H,339000,9
10,KENTSafetyShoesBorneo,359000,14
11,Dr.OSHASafetyShoesCaliforniaSporty3129,439000,10
12,CHEETAHSafetyShoesComfySeries5101CB,599000,9
13,OTTERSafetyShoes(Boots)PremiumWatertiteOWT805KWBrown,999000,11
14,BATABickz705,579000,9
15,CHEETAHSafetyShoesRevolutionPU3180H,339000,9
16,CHEETAHSafetyShoesRevolutionPU3002H,299000,9
17,KRISBOWSafetyShoesVulcanBlack,1490000,7
18,RedWingSafetyShoes4431,2690000,0
19,OxypasHospitalShoesEmily,399000,0
